Địa chỉ,Phường/Xã/Thị trấn,Quận/Huyện,Diện tích (m²),Mức giá (tỷ),Giá tiền (triệu/m²),Mặt tiền(m),Đường vào(m),Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",Phường Tương Mai,Hoàng Mai,40,6.6,165,,3,,,5,6,,Đã có sổ đỏ,Đầy đủ
"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Phường Mỹ Đình 1,Nam Từ Liêm,40,,,,,,,,,,Đã có sổ đỏ,
"Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội",Phường Phúc La,Hà Đông,50,13.8,276,4.2,,,,4,,,Đã có sổ đỏ,
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,48,9.9,206.25,4.5,3,Tây,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Phường Mỹ Đình 1,Nam Từ Liêm,40,,,,,,,,,,Đã có sổ đỏ,
"Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội",Phường Phúc La,Hà Đông,50,13.8,276,4.2,,,,4,,,Đã có sổ đỏ,
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,48,9.9,206.25,4.5,3,Tây,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,40,5.5,137.5,4,3,,,4,3,3,Đã có sổ đỏ,
"Văn Quán, Hà Đông, Hà Nội",Văn Quán,Hà Đông,48,6,125,,,,,4,2,3,Đã có sổ đỏ,Đầy đủ
"Phố Lương Định Của, Phường Kim Liên, Đống Đa, Hà Nội",Phường Kim Liên,Đống Đa,27,4.5,166.67,,,,,3,3,3,Chưa sổ,
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội",Phường Gia Thụy,Quận Long Biên,59,14,234.9,,,,,5,4,5,Đã có sổ đỏ,Đầy đủ
"Đường Việt Hùng, Xã Việt Hùng, Đông Anh, Hà Nội",Xã Việt Hùng,Đông Anh,10,4.18,,4.2,,,,3,3,,Đã có sổ đỏ,
"Phố Đồng Nhân, Xã Đông La, Hoài Đức, Hà Nội",Xã Đông La,Hoài Đức,32,1.85,57.81,4,6,Tây - Nam,,,4,3,Đã có sổ đỏ,Cơ bản
"Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,96,19.8,206.25,,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Định Công Hạ, Phường Đại Kim, Hoàng Mai, Hà Nội",Phường Đại Kim,Hoàng Mai,43,5.5,127.91,4,3,,,4,,,Đã có sổ đỏ,Đầy đủ.
"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,42,11.87,282.57,6,4,,,6,5,5,Đã có sổ đỏ,
"Ngõ 663, Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",Phường Trương Định,Hai Bà Trưng,55,6.6,120,6,10,Đông - Bắc,,3,4,4,Đã có sổ đỏ,Cơ bản
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,85,18.3,215.29,5.5,,,,5,5,5,Đã có sổ đỏ,
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,11,17,153.15,6,5,,,4,,,Đã có sổ đỏ,Đầy đủ
"Đường Đặng Văn Ngữ, Phường Trung Tự, Đống Đa, Hà Nội",Phường Trung Tự,Đống Đa,91,22,241.76,6.2,,,,4,,,Chưa sổ,
"Xã Đông Dư, Gia Lâm, Hà Nội",Xã Đông Dư,Gia Lâm,55,,,7,2,,,,2,2,Đã có sổ đỏ,
"Phố Tạ Quang Bửu, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",Phường Bách Khoa,Hai Bà Trưng,10,22,205.61,6,10,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Phường Đức Giang, Long Biên, Hà Nội",Phường Đức Giang,Long Biên,10,15,150,4.5,4,,,3,2,2,Đã có sổ đỏ,
"Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,41,7.8,190.24,4.3,,,,,,,Đã có sổ đỏ,
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,38,6.3,165.79,4,,,,5,5,,Đã có sổ đỏ,Đầy đủ
"Phường Nhật Tân, Tây Hồ, Hà Nội",Phường Nhật Tân,Tây Hồ,55,13,236.36,,,,,,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,18,28.8,160,,,,,4,5,,Đã có sổ đỏ,Đầy đủ
"Phường Nhật Tân, Tây Hồ, Hà Nội",Phường Nhật Tân,Tây Hồ,55,13,236.36,,,,,,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,18,28.8,160,,,,,4,5,,Đã có sổ đỏ,Đầy đủ
"Đường Đại Cồ Việt, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",Phường Bách Khoa,Hai Bà Trưng,85,32,376.47,7,7,,,7,1,1,Đã có sổ đỏ,Cao cấp
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,10,22.8,215.09,,,,,8,,,Đã có sổ đỏ,Đầy đủ
"Đường Phúc Diễn, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",Phường Phúc Diễn,Bắc Từ Liêm,89,11.9,133.71,9,,,,,,,Chưa sổ,
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,19,30,157.9,,7,,,4,,,Đã có sổ đỏ,
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,75,12.8,170.67,,15,,,5,5,5,Đã có sổ đỏ,Không nội thất
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,30,45,148.03,12,,Nam,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,96,19.8,206.25,,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Trần Khát Chân, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",Phường Cầu Dền,Hai Bà Trưng,10,15.9,159,5,,Đông - Nam,,4,5,5,Đã có sổ đỏ,
"Phố Bạch Mai, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",Phường Cầu Dền,Hai Bà Trưng,11,21,190.91,8.5,,,,5,5,5,Đã có sổ đỏ,
"Đường Định Công Thượng, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,41,5.5,134.15,,,,,,3,3,Đã có sổ đỏ,Đầy đủ
"Phố Lê Thanh Nghị, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",Phường Bách Khoa,Hai Bà Trưng,70,27.5,392.86,6.5,,,,7,7,7,Đã có sổ đỏ,
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,18,29.8,165.56,20,15,,,9,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Đặng Thùy Trâm, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,86,19,220.93,,,,,5,,,Đã có sổ đỏ,
"Ngõ 28b, Đường Điện Biên Phủ, Phường Điện Biên, Ba Đình, Hà Nội",Phường Điện Biên,Ba Đình,65,23.5,361.54,5.5,,,,7,7,7,Đã có sổ đỏ,Cao cấp
"Đường Hữu Hưng, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",Phường Tây Mỗ,Nam Từ Liêm,34,4.37,128.53,,,,,5,4,3,Chưa sổ,
"Đường Liên Xã, Xã Đại Thành, Quốc Oai, Hà Nội",Xã Đại Thành,Quốc Oai,33,2.7,81.82,,,,,5,3,4,Đã có sổ đỏ,Cơ bản.
"Đường Hoàng Công Chất, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội.",Phường Phú Diễn,Bắc Từ Liêm,50,12.95,259,4,5,,,5,7,5,Đã có sổ đỏ,Đầy đủ
"Đường Lê Hữu Tựu, Xã Nguyên Khê, Đông Anh, Hà Nội",Xã Nguyên Khê,Đông Anh,46,2.36,51.19,4,,,,,,,Đã có sổ đỏ,
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,40,,,4.5,3.5,,,5,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,15,55,359.48,,,,,1,,,Đã có sổ đỏ,
"Phố Vũ Ngọc Phan, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,70,14.8,211.43,,,,,7,1,8,Đã có sổ đỏ,Đầy đủ
"Ngõ 6, Đường Đặng Văn Ngữ, Phường Trung Tự, Đống Đa, Hà Nội",Phường Trung Tự,Đống Đa,54,11,203.7,,,,,7,1,1,Chưa sổ,
"Đường Phan Kế Bính, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,40,6.95,173.75,3.5,3,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,58,18,307.17,,,,,7,5,7,Đã có sổ đỏ,Full nội thất sang trọng.
"Đường Du Ngoại, Xã Mai Lâm, Đông Anh, Hà Nội",Xã Mai Lâm,Đông Anh,60,4.5,75,4.2,7,Tây - Bắc,Tây - Bắc,3,3,3,Đã có sổ đỏ,
"Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,75,,,6.1,,Đông - Nam,Tây - Nam,4,4,3,Đã có sổ đỏ,Đầy đủ
"Hoàng Mai , Hà nội",Hoàng Mai,Hoàng Mai,32,5.85,182.81,,,,,5,,,Đã có sổ đỏ,
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",Phường Tương Mai,Hoàng Mai,32,5.5,171.88,3.4,,,,5,,,Đã có sổ đỏ,
"Phố Thượng Cát, Phường Thượng Cát, Bắc Từ Liêm, Hà Nội",Phường Thượng Cát,Bắc Từ Liêm,46,5.6,121.74,4.2,3,,,5,3,4,Đã có sổ đỏ,
"Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,39,6.9,176.92,4.8,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Phường Tứ Liên, Tây Hồ, Hà Nội",Phường Tứ Liên,Tây Hồ,55,18.35,333.64,4.5,,,,6,,,Đã có sổ đỏ,Full nội thất.
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,50,6.8,136,10,5,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Giải Phóng, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,75,26,346.67,7.8,5,,,8,7,7,Đã có sổ đỏ,Đầy đủ
"Phố Nghĩa Dũng, Phường Phúc Xá, Ba Đình, Hà Nội",Phường Phúc Xá,Ba Đình,31,6.2,200,,,,,4,5,,Đã có sổ đỏ,
"Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,22,3.85,171.88,3.7,,,,4,3,2,Đã có sổ đỏ,Cơ bản
"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Phường Mỹ Đình 1,Nam Từ Liêm,55,14.7,267.27,,,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Phố Quốc Tử Giám, Phường Quốc Tử Giám, Đống Đa, Hà Nội",Phường Quốc Tử Giám,Đống Đa,30,6.9,229.97,5,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Mỹ Đình 1, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,Nam Từ Liêm,45,12.86,285.67,4,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Mỹ Đình 1, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,Nam Từ Liêm,45,12.86,285.67,4,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Đặng Văn Ngữ, Phường Trung Tự, Đống Đa, Hà Nội",Phường Trung Tự,Đống Đa,92,50.6,550,,,,,7,,,Chưa sổ,
"Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,55,15.5,281.82,5,10,,,7,1,1,Đã có sổ đỏ,"Đầy đủ nội thất cơ bản hoàn thiện chỉ việc về ở. Nhà 4 tầng xây chắc chắn. Nội thất xịn: Sàn gỗ, tủ bếp gỗ, tiểu cảnh, trần thạch cao, điện nước đầy đủ..."
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,30,5.6,186.67,,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,33,6.45,195.46,3.5,3,,,5,3,4,Đã có sổ đỏ,Cơ bản
"Đường Quan Hoa, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,41,7.45,181.71,5.1,,,,4,,,Chưa sổ,
"Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,37,8.25,222.97,,,,,5,,,Đã có sổ đỏ,
"Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội",Phường Mai Động,Hoàng Mai,25,3.7,148,,,,,5,3,4,Đã có sổ đỏ,Đầy đủ.
"Phố Nghĩa Đô, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,50,17,340,4.1,,,,6,6,5,Đã có sổ đỏ,Đầy đủ
"đường Đông Ngạc, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Phường Đông Ngạc,Bắc Từ Liêm,41,4.55,110.98,5,3,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Tân Triều, Xã Tân Triều, Thanh Trì, Hà Nội",Xã Tân Triều,Thanh Trì,33,5.4,163.64,5,3,Đông - Nam,Đông - Nam,6,4,4,Đã có sổ đỏ,Cơ bản
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",Xã Vĩnh Quỳnh,Thanh Trì,40,4.8,120,5,,,,5,5,,Đã có sổ đỏ,
"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",Phường Ô Chợ Dừa,Đống Đa,30,5.7,190,,3,,,5,3,3,Đã có sổ đỏ,Đầy đủ
"Tổ 4, Đường Độc Lập, Phường Cự Khối, Long Biên, Hà Nội",Phường Cự Khối,Long Biên,27,20,74.07,12,5,Nam,Nam,4,6,3,Đã có sổ đỏ,Không nội thất
"Phường Giảng Võ, Ba Đình, Hà Nội",Phường Giảng Võ,Ba Đình,36,,,,,,,5,3,,Đã có sổ đỏ,
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,48,12.7,264.58,4.15,4,,,6,4,5,Đã có sổ đỏ,Đầy đủ.
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,45,9.4,208.89,5,,,,7,,,Chưa sổ,
"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",Phường Mỗ Lao,Hà Đông,45,8.9,197.78,,,,,5,9,5,Đã có sổ đỏ,Cơ bản
"Đường Tô Hiệu, Phường Quang Trung, Hà Đông, Hà Nội",Phường Quang Trung,Hà Đông,36,5.8,161.11,,,,,2,3,2,Đã có sổ đỏ,Cơ bản
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,50,9.5,190,3.5,2,,,5,1,1,Đã có sổ đỏ,Đầy đủ.
"Ngõ Hoà Bình 7, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,36,6.95,193.06,,,,,5,,,Chưa sổ,
"Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,23,34.5,150,15,10,Đông - Bắc,Đông - Nam,3,6,6,Đã có sổ đỏ,Đầy đủ.
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,40,13.1,327.5,4,7,,,7,5,6,Đã có sổ đỏ,Đầy đủ full nội thất cao cấp.
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,65,17,261.54,6,8,Tây - Nam,Tây - Nam,7,3,6,Đã có sổ đỏ,Đầy đủ.
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,99,18,181.82,7,10,Đông - Bắc,Đông - Bắc,4,4,6,Đã có sổ đỏ,Đầy đủ nội thất đầy đủ.
"Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",Phường Phúc La,Hà Đông,50,13.8,276,,8,,,4,5,5,Chưa sổ,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,40,6.2,155,3.8,3,,,4,4,4,Đã có sổ đỏ,Đầy đủ.
"Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",Phường Phú La,Hà Đông,42,5.4,128.57,5,2,,,2,3,3,Đã có sổ đỏ,Đầy đủ
"Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",Phường Thịnh Quang,Đống Đa,44,11.8,268.18,5,,,,6,7,,Đã có sổ đỏ,Đầy đủ
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,Bắc Từ Liêm,35,5.5,157.14,7,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",Phường Phúc Lợi,Long Biên,30,5.2,173.33,6.9,4,,,5,3,4,Đã có sổ đỏ,Đầy đủ.
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,68,14.8,217.65,4,7,,,5,3,3,Đã có sổ đỏ,Đầy đủ.
"Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội.",Phường Phương Canh,Nam Từ Liêm,11,16.5,150,5,,,,4,,,Đã có sổ đỏ,Đầy đủ
"Xã Ngũ Hiệp, Thanh Trì, Hà Nội",Xã Ngũ Hiệp,Thanh Trì,40,3.8,95,,,,,5,,,Chưa sổ,
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,24,5.2,216.67,,,Đông - Bắc,Đông - Bắc,4,2,3,Đã có sổ đỏ,
"Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,61,8.8,144.26,5,,,,4,6,4,Đã có sổ đỏ,
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,63,15.3,242.86,4,6,,,6,3,4,Đã có sổ đỏ,Đầy đủ.
"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",Phường Quang Trung,Hà Đông,75,8.8,117.33,4.2,3,,,3,3,4,Đã có sổ đỏ,
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,50,14.5,290,4,6,,,7,3,3,Đã có sổ đỏ,Đầy đủ.
"Xã Ngũ Hiệp, Thanh Trì, Hà Nội",Xã Ngũ Hiệp,Thanh Trì,45,4.4,97.78,5,,,,5,4,4,Đã có sổ đỏ,Cơ bản
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,63,15.3,242.86,4,6,,,6,3,4,Đã có sổ đỏ,Đầy đủ.
"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",Phường Quang Trung,Hà Đông,75,8.8,117.33,4.2,3,,,3,3,4,Đã có sổ đỏ,
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,50,14.5,290,4,6,,,7,3,3,Đã có sổ đỏ,Đầy đủ.
"Xã Ngũ Hiệp, Thanh Trì, Hà Nội",Xã Ngũ Hiệp,Thanh Trì,45,4.4,97.78,5,,,,5,4,4,Đã có sổ đỏ,Cơ bản
"Đường Hàm Rồng, Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,45,9.2,204.44,4.9,5,,,6,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Ngũ Hiệp, Xã Ngũ Hiệp, Thanh Trì, Hà Nội",Xã Ngũ Hiệp,Thanh Trì,48,4.4,91.67,,4,,,5,4,4,Đã có sổ đỏ,
"Đường Khương Hạ Mới, Phường Khương Đình, Thanh Xuân, Hà Nội.",Phường Khương Đình,Thanh Xuân,43,6,139.54,4.6,3,,,6,4,4,Đã có sổ đỏ,Đầy đủ
"Phường Ngọc Lâm, Long Biên, Hà Nội",Phường Ngọc Lâm,Long Biên,22,3.45,156.82,4.7,,,,4,2,2,Chưa sổ,
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,40,11.9,297.5,6,4,,,6,5,4,Đã có sổ đỏ,Đầy đủ
"Phố Văn Hội, Phường Đức Thắng, Bắc Từ Liêm, Hà Nội",Phường Đức Thắng,Bắc Từ Liêm,35,5,142.86,3.5,3.5,,,4,4,3,Đã có sổ đỏ,
"Tổ 12, Đường Thành Công, Phường Đồng Mai, Hà Đông, Hà Nội",Phường Đồng Mai,Hà Đông,34,2.5,73.1,3.2,3,,,4,3,4,Đã có sổ đỏ,Cơ bản
"Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội.",Phường Phú Đô,Nam Từ Liêm,40,6.2,155,5,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phố Hồng Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",Phường Bạch Mai,Hai Bà Trưng,45,9,200,3.5,,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Mễ Trì Thượng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Phường Mễ Trì,Nam Từ Liêm,40,8.4,210,,,,,6,,,Đã có sổ đỏ,"Đầy đủ - nội thất các phòng đầy đủ như: Giường, tủ quần áo, wc, nóng lạnh, điều hoà, tủ bếp v. V."
"Đường Vân Đồn, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",Phường Bạch Đằng,Hai Bà Trưng,38,4.5,118.42,6,,,,3,,,Chưa sổ,
"Đường Bát Khối, Phường Thạch Bàn, Long Biên, Hà Nội",Phường Thạch Bàn,Long Biên,32,4.5,140.62,,,,,5,3,3,Đã có sổ đỏ,
"Đường Đội Cấn, Phường Ngọc Hà, Ba Đình, Hà Nội",Phường Ngọc Hà,Ba Đình,62,32,516.13,5.6,,,,8,,,Đã có sổ đỏ,
"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,45,6.68,148.44,4,35,,,4,4,,Đã có sổ đỏ,Full nội thất sang xịn.
"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,55,13.2,240,5,12,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,48,6.9,143.75,,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,48,6.9,143.75,,,,,5,,,Đã có sổ đỏ,Đầy đủ
"Đường An Dương, Phường Yên Phụ, Tây Hồ, Hà Nội",Phường Yên Phụ,Tây Hồ,33,2.25,68.18,3,2.5,Đông - Nam,Đông - Nam,3,2,3,Đã có sổ đỏ,Cơ bản
"Phố Chính Kinh, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,55,5.9,107.27,,,,,2,,,Đã có sổ đỏ,
"Đường Phan Đình Giót, Phường Phương Liệt, Thanh Xuân, Hà Nội",Phường Phương Liệt,Thanh Xuân,25,2.8,112,,,,,4,3,3,Đã có sổ đỏ,
"Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,46,7.8,169.56,3.55,,,,4,,,Đã có sổ đỏ,
"Đường Huyền Kỳ, Phường Phú Lãm, Hà Đông, Hà Nội",Phường Phú Lãm,Hà Đông,38,4.2,109.95,7.25,2,Bắc,Bắc,3,3,3,Đã có sổ đỏ,Cơ bản
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,33,3.5,106.06,3.6,,,,4,,,Đã có sổ đỏ,
"Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Phường Hoàng Liệt,Hoàng Mai,39,6,153.85,5,,,,4,4,,Đã có sổ đỏ,
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",Phường Dương Nội,Hà Đông,31,4.4,141.48,,,Tây - Bắc,,4,3,3,Đã có sổ đỏ,
"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,32,7.5,234.38,13.52,,,,5,,,Đã có sổ đỏ,
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,55,,,,,,,,4,,Đã có sổ đỏ,Đầy đủ
"Khoan Tế, Đa Tốn, Gia Lâm, Hà Nội",Đa Tốn,Gia Lâm,42,3.8,89.41,3.9,3.5,Đông - Bắc,Đông - Bắc,2,,,Đã có sổ đỏ,
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,48,6.68,139.17,4,2,Nam,Nam,5,6,4,Đã có sổ đỏ,
"Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội",Phường Phương Mai,Đống Đa,27,7.4,272.02,,,,,6,4,5,Đã có sổ đỏ,Đầy đủ
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,38,14.5,381.58,,,,,5,,,Đã có sổ đỏ,
